Sourcefile												
Exporttime												
												
Start Time												
End Time												
												
			22 - CO2			44 - CO2			32 - O2			28 - CO
Time		Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
7/15/2020 02:49:59.856 	0	14191,161	1,83E-12	7/15/2020 02:50:00.200 	14191,272	3,25E-12	7/15/2020 02:50:00.434 	14191,506	1,18E-08	7/15/2020 02:50:00.769 	14191,841	1,08E-09
7/15/2020 02:50:00.992 	1,136	14192,297	1,86E-12	7/15/2020 02:50:01.336 	14192,408	3,31E-12	7/15/2020 02:50:01.564 	14192,635	1,18E-08	7/15/2020 02:50:01.897 	14192,969	1,08E-09
7/15/2020 02:50:02.120 	2,257	14193,418	1,87E-12	7/15/2020 02:50:02.458 	14193,53	3,28E-12	7/15/2020 02:50:02.689 	14193,761	1,18E-08	7/15/2020 02:50:03.024 	14194,096	1,08E-09
7/15/2020 02:50:03.247 	3,386	14194,547	1,97E-12	7/15/2020 02:50:03.586 	14194,658	3,37E-12	7/15/2020 02:50:03.815 	14194,886	1,18E-08	7/15/2020 02:50:04.150 	14195,221	1,08E-09
7/15/2020 02:50:04.371 	4,509	14195,67	1,99E-12	7/15/2020 02:50:04.711 	14195,782	3,20E-12	7/15/2020 02:50:04.944 	14196,016	1,18E-08	7/15/2020 02:50:05.278 	14196,349	1,08E-09
7/15/2020 02:50:05.500 	5,641	14196,802	1,91E-12	7/15/2020 02:50:05.841 	14196,913	3,31E-12	7/15/2020 02:50:06.078 	14197,149	1,18E-08	7/15/2020 02:50:06.412 	14197,483	1,08E-09
7/15/2020 02:50:06.633 	6,771	14197,932	1,91E-12	7/15/2020 02:50:06.972 	14198,043	3,26E-12	7/15/2020 02:50:07.203 	14198,275	1,18E-08	7/15/2020 02:50:07.536 	14198,608	1,08E-09
7/15/2020 02:50:07.759 	7,896	14199,057	1,90E-12	7/15/2020 02:50:08.097 	14199,169	3,19E-12	7/15/2020 02:50:08.326 	14199,397	1,18E-08	7/15/2020 02:50:08.658 	14199,73	1,08E-09
7/15/2020 02:50:08.880 	9,018	14200,179	2,02E-12	7/15/2020 02:50:09.218 	14200,29	3,17E-12	7/15/2020 02:50:09.454 	14200,525	1,18E-08	7/15/2020 02:50:09.786 	14200,858	1,08E-09
7/15/2020 02:50:10.008 	10,155	14201,316	1,83E-12	7/15/2020 02:50:10.357 	14201,428	3,16E-12	7/15/2020 02:50:10.585 	14201,657	1,18E-08	7/15/2020 02:50:10.920 	14201,991	1,08E-09
7/15/2020 02:50:11.142 	11,274	14202,435	1,95E-12	7/15/2020 02:50:11.474 	14202,546	3,38E-12	7/15/2020 02:50:11.705 	14202,777	1,18E-08	7/15/2020 02:50:12.039 	14203,11	1,09E-09
7/15/2020 02:50:12.261 	12,398	14203,559	1,98E-12	7/15/2020 02:50:12.599 	14203,67	3,28E-12	7/15/2020 02:50:12.833 	14203,905	1,18E-08	7/15/2020 02:50:13.167 	14204,238	1,08E-09
7/15/2020 02:50:13.389 	13,527	14204,688	1,90E-12	7/15/2020 02:50:13.728 	14204,799	3,14E-12	7/15/2020 02:50:13.960 	14205,031	1,18E-08	7/15/2020 02:50:14.296 	14205,368	1,08E-09
7/15/2020 02:50:14.519 	14,656	14205,817	1,91E-12	7/15/2020 02:50:14.856 	14205,928	3,26E-12	7/15/2020 02:50:15.084 	14206,155	1,18E-08	7/15/2020 02:50:15.418 	14206,49	1,08E-09
7/15/2020 02:50:15.640 	15,777	14206,938	1,97E-12	7/15/2020 02:50:15.977 	14207,049	3,36E-12	7/15/2020 02:50:16.214 	14207,285	1,18E-08	7/15/2020 02:50:16.550 	14207,621	1,08E-09
7/15/2020 02:50:16.771 	16,918	14208,079	1,78E-12	7/15/2020 02:50:17.119 	14208,19	3,12E-12	7/15/2020 02:50:17.345 	14208,417	1,17E-08	7/15/2020 02:50:17.680 	14208,751	1,08E-09
7/15/2020 02:50:17.902 	18,034	14209,195	1,97E-12	7/15/2020 02:50:18.236 	14209,307	3,27E-12	7/15/2020 02:50:18.464 	14209,535	1,18E-08	7/15/2020 02:50:18.797 	14209,868	1,08E-09
7/15/2020 02:50:19.020 	19,162	14210,323	1,91E-12	7/15/2020 02:50:19.362 	14210,434	3,31E-12	7/15/2020 02:50:19.592 	14210,664	1,18E-08	7/15/2020 02:50:19.928 	14210,999	1,08E-09
7/15/2020 02:50:20.150 	20,287	14211,448	1,86E-12	7/15/2020 02:50:20.488 	14211,559	3,31E-12	7/15/2020 02:50:20.720 	14211,792	1,18E-08	7/15/2020 02:50:21.056 	14212,127	1,08E-09
7/15/2020 02:50:21.278 	21,41	14212,571	1,86E-12	7/15/2020 02:50:21.610 	14212,682	3,37E-12	7/15/2020 02:50:21.841 	14212,913	1,18E-08	7/15/2020 02:50:22.175 	14213,246	1,08E-09
7/15/2020 02:50:22.397 	22,536	14213,697	1,95E-12	7/15/2020 02:50:22.736 	14213,808	3,34E-12	7/15/2020 02:50:22.969 	14214,041	1,18E-08	7/15/2020 02:50:23.304 	14214,375	1,08E-09
7/15/2020 02:50:23.526 	23,666	14214,827	1,85E-12	7/15/2020 02:50:23.868 	14214,939	3,40E-12	7/15/2020 02:50:24.095 	14215,166	1,18E-08	7/15/2020 02:50:24.430 	14215,501	1,08E-09
7/15/2020 02:50:24.652 	24,794	14215,955	1,99E-12	7/15/2020 02:50:24.994 	14216,066	3,32E-12	7/15/2020 02:50:25.224 	14216,295	1,18E-08	7/15/2020 02:50:25.557 	14216,628	1,08E-09
7/15/2020 02:50:25.778 	25,922	14217,083	1,85E-12	7/15/2020 02:50:26.122 	14217,194	3,19E-12	7/15/2020 02:50:26.360 	14217,431	1,18E-08	7/15/2020 02:50:26.694 	14217,765	1,08E-09
7/15/2020 02:50:26.915 	27,06	14218,221	1,98E-12	7/15/2020 02:50:27.261 	14218,332	3,40E-12	7/15/2020 02:50:27.494 	14218,565	1,18E-08	7/15/2020 02:50:27.826 	14218,898	1,08E-09
7/15/2020 02:50:28.048 	28,188	14219,349	1,84E-12	7/15/2020 02:50:28.390 	14219,461	3,28E-12	7/15/2020 02:50:28.623 	14219,694	1,18E-08	7/15/2020 02:50:28.956 	14220,027	1,08E-09
7/15/2020 02:50:29.177 	29,317	14220,478	1,91E-12	7/15/2020 02:50:29.518 	14220,589	3,17E-12	7/15/2020 02:50:29.746 	14220,818	1,18E-08	7/15/2020 02:50:30.080 	14221,151	1,08E-09
7/15/2020 02:50:30.302 	0	14221,6	1,87E-12	7/15/2020 02:50:30.640 	14221,711	3,25E-12	7/15/2020 02:50:30.872 	14221,944	1,18E-08	7/15/2020 02:50:31.208 	14222,279	1,08E-09
7/15/2020 02:50:31.430 	1,128	14222,728	1,96E-12	7/15/2020 02:50:31.768 	14222,839	3,29E-12	7/15/2020 02:50:31.999 	14223,07	1,17E-08	7/15/2020 02:50:32.332 	14223,403	1,08E-09
7/15/2020 02:50:32.553 	2,252	14223,852	1,84E-12	7/15/2020 02:50:32.892 	14223,963	3,35E-12	7/15/2020 02:50:33.120 	14224,191	1,18E-08	7/15/2020 02:50:33.456 	14224,527	1,08E-09
7/15/2020 02:50:33.678 	3,384	14224,984	1,92E-12	7/15/2020 02:50:34.024 	14225,095	3,19E-12	7/15/2020 02:50:34.254 	14225,325	1,18E-08	7/15/2020 02:50:34.590 	14225,661	1,08E-09
7/15/2020 02:50:34.812 	4,511	14226,111	1,92E-12	7/15/2020 02:50:35.151 	14226,222	3,30E-12	7/15/2020 02:50:35.382 	14226,453	1,17E-08	7/15/2020 02:50:35.714 	14226,786	1,08E-09
7/15/2020 02:50:35.936 	5,64	14227,24	1,91E-12	7/15/2020 02:50:36.280 	14227,352	3,17E-12	7/15/2020 02:50:36.506 	14227,578	1,18E-08	7/15/2020 02:50:36.841 	14227,913	1,08E-09
7/15/2020 02:50:37.064 	6,76	14228,36	1,88E-12	7/15/2020 02:50:37.400 	14228,471	3,30E-12	7/15/2020 02:50:37.630 	14228,701	1,17E-08	7/15/2020 02:50:37.962 	14229,034	1,08E-09
7/15/2020 02:50:38.184 	7,883	14229,483	1,92E-12	7/15/2020 02:50:38.522 	14229,594	3,30E-12	7/15/2020 02:50:38.759 	14229,83	1,17E-08	7/15/2020 02:50:39.091 	14230,163	1,08E-09
7/15/2020 02:50:39.313 	9,012	14230,612	1,81E-12	7/15/2020 02:50:39.651 	14230,723	3,24E-12	7/15/2020 02:50:39.885 	14230,956	1,17E-08	7/15/2020 02:50:40.217 	14231,289	1,08E-09
7/15/2020 02:50:40.440 	10,142	14231,742	1,92E-12	7/15/2020 02:50:40.782 	14231,853	3,34E-12	7/15/2020 02:50:41.009 	14232,081	1,18E-08	7/15/2020 02:50:41.344 	14232,415	1,08E-09
7/15/2020 02:50:41.566 	11,259	14232,859	1,94E-12	7/15/2020 02:50:41.898 	14232,97	3,26E-12	7/15/2020 02:50:42.126 	14233,197	1,17E-08	7/15/2020 02:50:42.460 	14233,531	1,08E-09
7/15/2020 02:50:42.681 	12,376	14233,976	1,96E-12	7/15/2020 02:50:43.016 	14234,087	3,27E-12	7/15/2020 02:50:43.245 	14234,316	1,17E-08	7/15/2020 02:50:43.578 	14234,65	1,08E-09
7/15/2020 02:50:43.800 	13,499	14235,099	1,91E-12	7/15/2020 02:50:44.138 	14235,21	3,22E-12	7/15/2020 02:50:44.370 	14235,442	1,17E-08	7/15/2020 02:50:44.705 	14235,777	1,08E-09
7/15/2020 02:50:44.928 	14,626	14236,226	1,91E-12	7/15/2020 02:50:45.265 	14236,337	3,19E-12	7/15/2020 02:50:45.494 	14236,565	1,17E-08	7/15/2020 02:50:45.826 	14236,898	1,08E-09
7/15/2020 02:50:46.048 	15,748	14237,348	1,88E-12	7/15/2020 02:50:46.387 	14237,459	3,22E-12	7/15/2020 02:50:46.615 	14237,686	1,17E-08	7/15/2020 02:50:46.950 	14238,021	1,08E-09
7/15/2020 02:50:47.171 	16,87	14238,47	1,90E-12	7/15/2020 02:50:47.510 	14238,581	3,26E-12	7/15/2020 02:50:47.736 	14238,808	1,17E-08	7/15/2020 02:50:48.070 	14239,141	1,08E-09
7/15/2020 02:50:48.291 	17,993	14239,593	1,92E-12	7/15/2020 02:50:48.632 	14239,704	3,23E-12	7/15/2020 02:50:48.870 	14239,941	1,17E-08	7/15/2020 02:50:49.203 	14240,275	1,08E-09
7/15/2020 02:50:49.425 	19,121	14240,721	1,90E-12	7/15/2020 02:50:49.760 	14240,832	3,22E-12	7/15/2020 02:50:49.991 	14241,062	1,17E-08	7/15/2020 02:50:50.323 	14241,395	1,08E-09
7/15/2020 02:50:50.545 	20,244	14241,844	1,85E-12	7/15/2020 02:50:50.883 	14241,955	3,32E-12	7/15/2020 02:50:51.117 	14242,188	1,17E-08	7/15/2020 02:50:51.452 	14242,523	1,08E-09
7/15/2020 02:50:51.673 	21,372	14242,972	1,92E-12	7/15/2020 02:50:52.012 	14243,083	3,32E-12	7/15/2020 02:50:52.248 	14243,319	1,17E-08	7/15/2020 02:50:52.581 	14243,652	1,08E-09
7/15/2020 02:50:52.802 	22,504	14244,104	1,97E-12	7/15/2020 02:50:53.144 	14244,216	3,25E-12	7/15/2020 02:50:53.381 	14244,452	1,17E-08	7/15/2020 02:50:53.713 	14244,785	1,08E-09
7/15/2020 02:50:53.936 	23,636	14245,236	1,88E-12	7/15/2020 02:50:54.275 	14245,347	3,31E-12	7/15/2020 02:50:54.503 	14245,574	1,17E-08	7/15/2020 02:50:54.835 	14245,907	1,08E-09
7/15/2020 02:50:55.057 	24,762	14246,362	1,85E-12	7/15/2020 02:50:55.401 	14246,473	3,31E-12	7/15/2020 02:50:55.637 	14246,708	1,17E-08	7/15/2020 02:50:55.970 	14247,042	1,08E-09
7/15/2020 02:50:56.192 	25,891	14247,491	1,85E-12	7/15/2020 02:50:56.530 	14247,602	3,36E-12	7/15/2020 02:50:56.760 	14247,832	1,17E-08	7/15/2020 02:50:57.094 	14248,165	1,08E-09
7/15/2020 02:50:57.315 	27,014	14248,614	1,92E-12	7/15/2020 02:50:57.655 	14248,726	3,33E-12	7/15/2020 02:50:57.889 	14248,961	1,17E-08	7/15/2020 02:50:58.223 	14249,294	1,08E-09
7/15/2020 02:50:58.445 	28,147	14249,747	1,91E-12	7/15/2020 02:50:58.787 	14249,859	3,34E-12	7/15/2020 02:50:59.016 	14250,088	1,17E-08	7/15/2020 02:50:59.350 	14250,421	1,08E-09
7/15/2020 02:50:59.571 	29,27	14250,87	1,78E-12	7/15/2020 02:50:59.911 	14250,982	3,10E-12	7/15/2020 02:51:00.144 	14251,216	1,17E-08	7/15/2020 02:51:00.481 	14251,553	1,08E-09
7/15/2020 02:51:00.704 	30,402	14252,002	1,79E-12	7/15/2020 02:51:01.041 	14252,113	3,31E-12	7/15/2020 02:51:01.277 	14252,348	1,17E-08	7/15/2020 02:51:01.614 	14252,685	1,08E-09
7/15/2020 02:51:01.836 	31,534	14253,134	1,89E-12	7/15/2020 02:51:02.175 	14253,246	3,29E-12	7/15/2020 02:51:02.408 	14253,479	1,17E-08	7/15/2020 02:51:02.744 	14253,815	1,08E-09
7/15/2020 02:51:02.966 	32,667	14254,267	1,91E-12	7/15/2020 02:51:03.306 	14254,378	3,26E-12	7/15/2020 02:51:03.539 	14254,611	1,17E-08	7/15/2020 02:51:03.872 	14254,944	1,08E-09
7/15/2020 02:51:04.095 	33,802	14255,402	1,92E-12	7/15/2020 02:51:04.441 	14255,513	3,26E-12	7/15/2020 02:51:04.669 	14255,74	1,17E-08	7/15/2020 02:51:05.001 	14256,073	1,09E-09
7/15/2020 02:51:05.224 	34,923	14256,523	1,83E-12	7/15/2020 02:51:05.562 	14256,634	3,28E-12	7/15/2020 02:51:05.797 	14256,868	1,17E-08	7/15/2020 02:51:06.129 	14257,201	1,08E-09
7/15/2020 02:51:06.352 	36,059	14257,659	1,93E-12	7/15/2020 02:51:06.698 	14257,77	3,31E-12	7/15/2020 02:51:06.935 	14258,006	1,17E-08	7/15/2020 02:51:07.267 	14258,339	1,08E-09
7/15/2020 02:51:07.489 	37,188	14258,788	1,93E-12	7/15/2020 02:51:07.827 	14258,899	3,36E-12	7/15/2020 02:51:08.056 	14259,127	1,17E-08	7/15/2020 02:51:08.390 	14259,461	1,08E-09
7/15/2020 02:51:08.611 	38,309	14259,909	1,87E-12	7/15/2020 02:51:08.950 	14260,021	3,37E-12	7/15/2020 02:51:09.183 	14260,254	1,17E-08	7/15/2020 02:51:09.517 	14260,588	1,08E-09
7/15/2020 02:51:09.738 	39,444	14261,044	1,82E-12	7/15/2020 02:51:10.083 	14261,155	3,18E-12	7/15/2020 02:51:10.312 	14261,383	1,17E-08	7/15/2020 02:51:10.647 	14261,718	1,09E-09
7/15/2020 02:51:10.869 	40,575	14262,175	1,96E-12	7/15/2020 02:51:11.215 	14262,286	3,31E-12	7/15/2020 02:51:11.445 	14262,516	1,17E-08	7/15/2020 02:51:11.779 	14262,851	1,08E-09
7/15/2020 02:51:12.001 	41,701	14263,301	1,93E-12	7/15/2020 02:51:12.341 	14263,412	3,31E-12	7/15/2020 02:51:12.568 	14263,64	1,17E-08	7/15/2020 02:51:12.903 	14263,974	1,08E-09
7/15/2020 02:51:13.125 	42,818	14264,418	1,92E-12	7/15/2020 02:51:13.458 	14264,53	3,41E-12	7/15/2020 02:51:13.688 	14264,759	1,17E-08	7/15/2020 02:51:14.024 	14265,095	1,08E-09
7/15/2020 02:51:14.246 	43,944	14265,544	1,83E-12	7/15/2020 02:51:14.584 	14265,655	3,31E-12	7/15/2020 02:51:14.818 	14265,89	1,17E-08	7/15/2020 02:51:15.154 	14266,226	1,08E-09
7/15/2020 02:51:15.376 	45,08	14266,68	1,87E-12	7/15/2020 02:51:15.720 	14266,792	3,30E-12	7/15/2020 02:51:15.948 	14267,019	1,17E-08	7/15/2020 02:51:16.281 	14267,353	1,08E-09
7/15/2020 02:51:16.504 	46,197	14267,797	1,97E-12	7/15/2020 02:51:16.837 	14267,908	3,23E-12	7/15/2020 02:51:17.065 	14268,137	1,17E-08	7/15/2020 02:51:17.399 	14268,47	1,08E-09
7/15/2020 02:51:17.621 	47,319	14268,919	1,89E-12	7/15/2020 02:51:17.959 	14269,03	3,41E-12	7/15/2020 02:51:18.185 	14269,257	1,17E-08	7/15/2020 02:51:18.519 	14269,59	1,08E-09
7/15/2020 02:51:18.741 	48,448	14270,048	1,86E-12	7/15/2020 02:51:19.088 	14270,159	3,27E-12	7/15/2020 02:51:19.310 	14270,381	1,17E-08	7/15/2020 02:51:19.644 	14270,715	1,08E-09
7/15/2020 02:51:19.865 	49,564	14271,164	1,94E-12	7/15/2020 02:51:20.204 	14271,275	3,36E-12	7/15/2020 02:51:20.437 	14271,508	1,17E-08	7/15/2020 02:51:20.773 	14271,844	1,08E-09
7/15/2020 02:51:20.994 	50,689	14272,289	1,95E-12	7/15/2020 02:51:21.328 	14272,4	3,38E-12	7/15/2020 02:51:21.564 	14272,635	1,17E-08	7/15/2020 02:51:21.897 	14272,969	1,08E-09
7/15/2020 02:51:22.120 	51,813	14273,413	1,98E-12	7/15/2020 02:51:22.453 	14273,524	3,26E-12	7/15/2020 02:51:22.688 	14273,759	1,17E-08	7/15/2020 02:51:23.022 	14274,093	1,09E-09
7/15/2020 02:51:23.244 	52,941	14274,541	1,96E-12	7/15/2020 02:51:23.581 	14274,652	3,42E-12	7/15/2020 02:51:23.813 	14274,884	1,17E-08	7/15/2020 02:51:24.150 	14275,221	1,08E-09
7/15/2020 02:51:24.371 	54,069	14275,669	1,83E-12	7/15/2020 02:51:24.710 	14275,781	3,22E-12	7/15/2020 02:51:24.936 	14276,008	1,17E-08	7/15/2020 02:51:25.270 	14276,341	1,08E-09
7/15/2020 02:51:25.491 	55,194	14276,794	1,92E-12	7/15/2020 02:51:25.833 	14276,905	3,28E-12	7/15/2020 02:51:26.070 	14277,141	1,17E-08	7/15/2020 02:51:26.403 	14277,475	1,08E-09
7/15/2020 02:51:26.625 	56,326	14277,926	1,85E-12	7/15/2020 02:51:26.966 	14278,037	3,28E-12	7/15/2020 02:51:27.193 	14278,265	1,17E-08	7/15/2020 02:51:27.527 	14278,598	1,08E-09
7/15/2020 02:51:27.749 	57,448	14279,048	1,78E-12	7/15/2020 02:51:28.088 	14279,159	3,29E-12	7/15/2020 02:51:28.314 	14279,386	1,17E-08	7/15/2020 02:51:28.648 	14279,719	1,08E-09
7/15/2020 02:51:28.870 	58,576	14280,176	1,83E-12	7/15/2020 02:51:29.216 	14280,287	3,21E-12	7/15/2020 02:51:29.448 	14280,519	1,17E-08	7/15/2020 02:51:29.783 	14280,854	1,08E-09
7/15/2020 02:51:30.005 	59,703	14281,303	1,92E-12	7/15/2020 02:51:30.343 	14281,414	3,33E-12	7/15/2020 02:51:30.576 	14281,648	1,16E-08	7/15/2020 02:51:30.910 	14281,981	1,08E-09
7/15/2020 02:51:31.132 	60,83	14282,43	1,93E-12	7/15/2020 02:51:31.470 	14282,541	3,30E-12	7/15/2020 02:51:31.698 	14282,77	1,17E-08	7/15/2020 02:51:32.035 	14283,107	1,08E-09
7/15/2020 02:51:32.257 	61,961	14283,561	1,87E-12	7/15/2020 02:51:32.600 	14283,672	3,19E-12	7/15/2020 02:51:32.831 	14283,902	1,17E-08	7/15/2020 02:51:33.166 	14284,237	1,08E-09
7/15/2020 02:51:33.388 	63,086	14284,686	1,83E-12	7/15/2020 02:51:33.726 	14284,797	3,29E-12	7/15/2020 02:51:33.961 	14285,033	1,17E-08	7/15/2020 02:51:34.298 	14285,37	1,08E-09
7/15/2020 02:51:34.520 	64,22	14285,82	1,79E-12	7/15/2020 02:51:34.860 	14285,931	3,32E-12	7/15/2020 02:51:35.094 	14286,165	1,17E-08	7/15/2020 02:51:35.426 	14286,498	1,08E-09
7/15/2020 02:51:35.648 	65,352	14286,952	1,94E-12	7/15/2020 02:51:35.992 	14287,064	3,24E-12	7/15/2020 02:51:36.231 	14287,302	1,17E-08	7/15/2020 02:51:36.568 	14287,639	1,08E-09
7/15/2020 02:51:36.790 	66,483	14288,083	1,95E-12	7/15/2020 02:51:37.123 	14288,195	3,29E-12	7/15/2020 02:51:37.351 	14288,422	1,17E-08	7/15/2020 02:51:37.683 	14288,755	1,08E-09
7/15/2020 02:51:37.905 	67,606	14289,206	1,93E-12	7/15/2020 02:51:38.246 	14289,317	3,25E-12	7/15/2020 02:51:38.472 	14289,544	1,17E-08	7/15/2020 02:51:38.807 	14289,878	1,08E-09
7/15/2020 02:51:39.029 	68,727	14290,327	1,91E-12	7/15/2020 02:51:39.367 	14290,438	3,33E-12	7/15/2020 02:51:39.598 	14290,669	1,17E-08	7/15/2020 02:51:39.933 	14291,004	1,08E-09
7/15/2020 02:51:40.154 	69,859	14291,459	1,85E-12	7/15/2020 02:51:40.499 	14291,571	3,25E-12	7/15/2020 02:51:40.733 	14291,804	1,17E-08	7/15/2020 02:51:41.066 	14292,138	1,08E-09
7/15/2020 02:51:41.288 	70,991	14292,591	1,86E-12	7/15/2020 02:51:41.632 	14292,703	3,25E-12	7/15/2020 02:51:41.865 	14292,937	1,17E-08	7/15/2020 02:51:42.199 	14293,27	1,08E-09
7/15/2020 02:51:42.421 	72,119	14293,719	1,98E-12	7/15/2020 02:51:42.759 	14293,83	3,19E-12	7/15/2020 02:51:42.990 	14294,061	1,17E-08	7/15/2020 02:51:43.324 	14294,395	1,08E-09
7/15/2020 02:51:43.545 	73,243	14294,843	1,94E-12	7/15/2020 02:51:43.882 	14294,954	3,33E-12	7/15/2020 02:51:44.111 	14295,182	1,17E-08	7/15/2020 02:51:44.448 	14295,519	1,08E-09
7/15/2020 02:51:44.670 	74,377	14295,977	1,94E-12	7/15/2020 02:51:45.016 	14296,088	3,34E-12	7/15/2020 02:51:45.247 	14296,318	1,17E-08	7/15/2020 02:51:45.583 	14296,654	1,08E-09
7/15/2020 02:51:45.805 	75,505	14297,105	2,12E-12	7/15/2020 02:51:46.145 	14297,217	3,25E-12	7/15/2020 02:51:46.371 	14297,443	1,17E-08	7/15/2020 02:51:46.705 	14297,777	1,08E-09
7/15/2020 02:51:46.928 	76,631	14298,231	1,84E-12	7/15/2020 02:51:47.271 	14298,342	3,32E-12	7/15/2020 02:51:47.500 	14298,571	1,17E-08	7/15/2020 02:51:47.833 	14298,905	1,08E-09
7/15/2020 02:51:48.056 	77,754	14299,354	1,87E-12	7/15/2020 02:51:48.393 	14299,465	3,43E-12	7/15/2020 02:51:48.616 	14299,687	1,17E-08	7/15/2020 02:51:48.950 	14300,021	1,09E-09
7/15/2020 02:51:49.171 	78,865	14300,465	1,96E-12	7/15/2020 02:51:49.505 	14300,577	3,35E-12	7/15/2020 02:51:49.738 	14300,81	1,17E-08	7/15/2020 02:51:50.072 	14301,144	1,08E-09
7/15/2020 02:51:50.295 	79,988	14301,588	1,84E-12	7/15/2020 02:51:50.627 	14301,699	3,21E-12	7/15/2020 02:51:50.855 	14301,926	1,17E-08	7/15/2020 02:51:51.189 	14302,26	1,08E-09
7/15/2020 02:51:51.410 	81,104	14302,704	1,91E-12	7/15/2020 02:51:51.744 	14302,815	3,33E-12	7/15/2020 02:51:51.975 	14303,046	1,17E-08	7/15/2020 02:51:52.310 	14303,381	1,08E-09
7/15/2020 02:51:52.533 	82,231	14303,831	1,85E-12	7/15/2020 02:51:52.871 	14303,942	3,41E-12	7/15/2020 02:51:53.101 	14304,172	1,17E-08	7/15/2020 02:51:53.436 	14304,507	1,08E-09
7/15/2020 02:51:53.657 	83,356	14304,956	1,84E-12	7/15/2020 02:51:53.996 	14305,067	3,25E-12	7/15/2020 02:51:54.231 	14305,302	1,16E-08	7/15/2020 02:51:54.563 	14305,635	1,08E-09
7/15/2020 02:51:54.785 	84,485	14306,085	1,97E-12	7/15/2020 02:51:55.125 	14306,196	3,25E-12	7/15/2020 02:51:55.358 	14306,429	1,16E-08	7/15/2020 02:51:55.692 	14306,763	1,08E-09
7/15/2020 02:51:55.913 	85,615	14307,215	1,85E-12	7/15/2020 02:51:56.256 	14307,327	3,24E-12	7/15/2020 02:51:56.482 	14307,554	1,16E-08	7/15/2020 02:51:56.817 	14307,889	1,08E-09
7/15/2020 02:51:57.040 	86,733	14308,333	1,99E-12	7/15/2020 02:51:57.373 	14308,444	3,44E-12	7/15/2020 02:51:57.603 	14308,675	1,15E-08	7/15/2020 02:51:57.936 	14309,008	1,08E-09
7/15/2020 02:51:58.159 	87,856	14309,456	1,86E-12	7/15/2020 02:51:58.496 	14309,568	3,35E-12	7/15/2020 02:51:58.732 	14309,803	1,14E-08	7/15/2020 02:51:59.066 	14310,138	1,08E-09
7/15/2020 02:51:59.288 	88,987	14310,587	1,91E-12	7/15/2020 02:51:59.626 	14310,698	3,37E-12	7/15/2020 02:51:59.859 	14310,931	1,13E-08	7/15/2020 02:52:00.192 	14311,264	1,08E-09
7/15/2020 02:52:00.415 	90,113	14311,713	1,85E-12	7/15/2020 02:52:00.753 	14311,825	3,28E-12	7/15/2020 02:52:00.988 	14312,059	1,10E-08	7/15/2020 02:52:01.320 	14312,392	1,08E-09
7/15/2020 02:52:01.543 	91,245	14312,845	1,92E-12	7/15/2020 02:52:01.885 	14312,956	3,34E-12	7/15/2020 02:52:02.112 	14313,183	1,07E-08	7/15/2020 02:52:02.447 	14313,518	1,08E-09
7/15/2020 02:52:02.669 	92,376	14313,976	1,91E-12	7/15/2020 02:52:03.016 	14314,087	3,22E-12	7/15/2020 02:52:03.246 	14314,317	1,04E-08	7/15/2020 02:52:03.580 	14314,651	1,08E-09
7/15/2020 02:52:03.801 	93,5	14315,1	1,89E-12	7/15/2020 02:52:04.140 	14315,211	3,15E-12	7/15/2020 02:52:04.371 	14315,443	9,94E-09	7/15/2020 02:52:04.704 	14315,776	1,08E-09
7/15/2020 02:52:04.927 	94,623	14316,223	1,92E-12	7/15/2020 02:52:05.264 	14316,335	3,25E-12	7/15/2020 02:52:05.490 	14316,562	9,47E-09	7/15/2020 02:52:05.825 	14316,897	1,08E-09
7/15/2020 02:52:06.048 	95,753	14317,353	1,84E-12	7/15/2020 02:52:06.392 	14317,464	3,31E-12	7/15/2020 02:52:06.627 	14317,699	8,96E-09	7/15/2020 02:52:06.960 	14318,032	1,08E-09
7/15/2020 02:52:07.183 	96,886	14318,486	1,90E-12	7/15/2020 02:52:07.527 	14318,598	3,24E-12	7/15/2020 02:52:07.753 	14318,825	8,43E-09	7/15/2020 02:52:08.087 	14319,158	1,08E-09
7/15/2020 02:52:08.309 	98,006	14319,606	1,95E-12	7/15/2020 02:52:08.646 	14319,717	3,35E-12	7/15/2020 02:52:08.879 	14319,95	7,88E-09	7/15/2020 02:52:09.216 	14320,287	1,09E-09
7/15/2020 02:52:09.438 	99,138	14320,738	1,87E-12	7/15/2020 02:52:09.777 	14320,849	3,30E-12	7/15/2020 02:52:10.006 	14321,077	7,37E-09	7/15/2020 02:52:10.342 	14321,413	1,09E-09
7/15/2020 02:52:10.563 	100,262	14321,862	1,90E-12	7/15/2020 02:52:10.903 	14321,974	3,27E-12	7/15/2020 02:52:11.136 	14322,207	6,86E-09	7/15/2020 02:52:11.470 	14322,541	1,09E-09
7/15/2020 02:52:11.692 	101,386	14322,986	1,93E-12	7/15/2020 02:52:12.026 	14323,098	3,32E-12	7/15/2020 02:52:12.255 	14323,326	6,37E-09	7/15/2020 02:52:12.591 	14323,662	1,10E-09
7/15/2020 02:52:12.813 	102,511	14324,111	1,85E-12	7/15/2020 02:52:13.151 	14324,222	3,67E-12	7/15/2020 02:52:13.384 	14324,455	5,91E-09	7/15/2020 02:52:13.718 	14324,789	1,11E-09
